[24-Oct-2015 01:31:44 UTC] PHP Notice:  Undefined index: data in /srv/app-framework-demo/vendor/strannikk/app-framework/framework/App/Application.php on line 121
[24-Oct-2015 01:31:44 UTC] PHP Warning:  stream_wrapper_register(): class 'App_Server_Stream_Wrapper' is undefined in /srv/app-framework-demo/vendor/strannikk/app-framework/framework/App/Application.php on line 152
[24-Oct-2015 01:31:44 UTC] PHP Fatal error:  Call to undefined function console() in /srv/app-framework-demo/application/library/Event/System.php on line 8
[24-Oct-2015 01:32:40 UTC] PHP Warning:  stream_wrapper_register(): class 'App_Server_Stream_Wrapper' is undefined in /srv/app-framework-demo/vendor/strannikk/app-framework/framework/App/Application.php on line 152
[24-Oct-2015 01:32:40 UTC] PHP Fatal error:  Call to undefined function console() in /srv/app-framework-demo/application/library/Event/System.php on line 8
[24-Oct-2015 01:33:19 UTC] PHP Warning:  stream_wrapper_register(): class 'App_Server_Stream_Wrapper' is undefined in /srv/app-framework-demo/vendor/strannikk/app-framework/framework/App/Application.php on line 153
[24-Oct-2015 01:33:19 UTC] PHP Fatal error:  Call to undefined function console() in /srv/app-framework-demo/application/library/Event/System.php on line 8
[24-Oct-2015 01:33:19 UTC] PHP Warning:  stream_wrapper_register(): class 'App_Server_Stream_Wrapper' is undefined in /srv/app-framework-demo/vendor/strannikk/app-framework/framework/App/Application.php on line 153
[24-Oct-2015 01:33:19 UTC] PHP Fatal error:  Call to undefined function console() in /srv/app-framework-demo/application/library/Event/System.php on line 8
[24-Oct-2015 01:33:19 UTC] PHP Warning:  stream_wrapper_register(): class 'App_Server_Stream_Wrapper' is undefined in /srv/app-framework-demo/vendor/strannikk/app-framework/framework/App/Application.php on line 153
[24-Oct-2015 01:33:19 UTC] PHP Fatal error:  Call to undefined function console() in /srv/app-framework-demo/application/library/Event/System.php on line 8
[24-Oct-2015 01:33:20 UTC] PHP Warning:  stream_wrapper_register(): class 'App_Server_Stream_Wrapper' is undefined in /srv/app-framework-demo/vendor/strannikk/app-framework/framework/App/Application.php on line 153
[24-Oct-2015 01:33:20 UTC] PHP Fatal error:  Call to undefined function console() in /srv/app-framework-demo/application/library/Event/System.php on line 8
[24-Oct-2015 01:33:20 UTC] PHP Warning:  stream_wrapper_register(): class 'App_Server_Stream_Wrapper' is undefined in /srv/app-framework-demo/vendor/strannikk/app-framework/framework/App/Application.php on line 153
